PHI-base accession no	PHI-base accession	Obsolete PHI accession	DB_Type	Accession	Obsolete EMBL accession	Locus ID	AA sequence #no EMBL#	NT sequence #no EMBL#	Associated strain	Gene name	Genome location	Multiple mutation	Pathogen NCBI Taxonomy ID	Pathogen species	Strain	Disease name	Monocot/Dicot plant	Host NCBI Taxonomy ID	Experimental host	Function	GO annotation	Database	Pathway	Phenotype of mutant	Mating defect prior to penetration	Pre-penetration defect	Penetration defect	Post-penetration defect	Vegetative spores	Sexual spores	In vitro growth	Spore germination	Essential gene (Lethal knockout)	Inducer	CAS	Host target	Host response	Experimental evidence	Species Expert	Entered by	Manual (M) or textmining (T)	Literature ID	Literature source	DOI	Full citation	Author email	Comments	Reference	Year published
	PHI:1009		Uniprot	Q09MP4		ABI51983  	0	0	0	NPS6	0	0	29001	Alternaria Brassicicola	29001	Tf383	Black spot	Dicot	Arabidopsis thaliana	Non-ribosomal peptide synthetase	GO:0009405, IMP	GO	0	Reduced virulence	0	0	0	0	0	0	0	0	0	0	0	0	0	gene deletion	0	AB		17056706	Pubmed	0	0	bgt1@cornell.edu	Hypersensitivity to H2O2. Increased sensitivity to iron depletion.	Oide et al.	2006
	PHI:1010		Uniprot	I1RN13		XM_385547	0	0	0	SID1	0	0	5518	Gibberella zeae (related: Fusarium graminearum)	229533	PH-1	Fusarium ear blight	Monocot	Wheat	Siderophore biosynthetic gene	GO:0009405, IMP	GO	0	Reduced virulence	0	0	0	0	0	0	0	0	0	0	0	0	0	gene deletion	0	AB		1464-6722	WoS	0	0	yangdou.wei@usask.ca	0	Greenshields et al.	2007
	PHI:1011		Uniprot	I1RMG9		FG05159	0	0	0	FET3	0	0	5518	Gibberella zeae (related: Fusarium graminearum)	229533	PH-1	Fusarium ear blight	Monocot	Wheat	Ferroxidase	0	0	0	Unaffected pathogenicity 	0	0	0	0	0	0	0	0	0	0	0	0	0	gene deletion	0	AB		1464-6722	WoS	0	0	yangdou.wei@usask.ca	Complementation of yeast mutant also	Greenshields et al.	2007
	PHI:1012		Uniprot	I1RNF9		FG05535	0	0	0	GzGPA1	0	0	5518	Gibberella zeae (related: Fusarium graminearum)	229533	Gz3639	Fusarium ear blight	Monocot	Barley	G protein alpha subunit	0	0	0	Unaffected pathogenicity 	0	0	0	0	0	0	Slightly affected	0	0	0	0	0	0	gene deletion	0	AB; AC		18227243	Pubmed	10.1099/mic.0.2007/012260-0	Yu et al. (2008) Microbiology 154(Pt 2): 392-401	lee2443@snu.ac.kr	Enhanced DON and ZEA production when deleted. Female sterility.	Yu et al.	2008
	PHI:1013		Uniprot	I1RYZ7		FG09614	0	0	0	GzGPA2	0	0	5518	Gibberella zeae (related: Fusarium graminearum)	229533	Gz3639	Fusarium ear blight	Monocot	Barley	G protein alpha subunit	GO:0009405, IMP	GO	0	Reduced virulence	0	0	0	0	0	0	Slightly affected	0	0	0	0	0	0	gene deletion; complementation	0	AB; AC		18227243	Pubmed	10.1099/mic.0.2007/012260-0	Yu et al. (2008) Microbiology 154(Pt 2): 392-401	lee2443@snu.ac.kr	0	Yu et al.	2008
	PHI:1014		Uniprot	I1RZX9		FG09988	0	0	0	GzGPA3	0	0	5518	Gibberella zeae (related: Fusarium graminearum)	229533	Gz3639	Fusarium ear blight	Monocot	Barley	G protein alpha subunit	0	0	0	Unaffected pathogenicity 	0	0	0	0	0	0	Slightly affected	0	0	0	0	0	0	gene deletion	0	AB; AC		18227243	Pubmed	10.1099/mic.0.2007/012260-0	Yu et al. (2008) Microbiology 154(Pt 2): 392-401	lee2443@snu.ac.kr	0	Yu et al.	2008
	PHI:1015		Uniprot	I1RJS2		FG04104	0	0	0	GzGPB1	0	0	5518	Gibberella zeae (related: Fusarium graminearum)	229533	Gz3639	Fusarium ear blight	Monocot	Barley	G protein beta subunit	GO:0009405, IMP	GO	0	Reduced virulence	0	0	0	0	0	0	75% of wild type	0	0	0	0	0	0	gene deletion; complementation	0	AB; AC		18227243	Pubmed	10.1099/mic.0.2007/012260-0	Yu et al. (2008) Microbiology 154(Pt 2): 392-401	lee2443@snu.ac.kr	Enhanced DON and ZEA production when deleted	Yu et al.	2008
	PHI:1016		Uniprot	FG05484		FG05484	0	0	0	STE11	0	0	5518	Gibberella zeae (related: Fusarium graminearum)	229533	PH-1	Fusarium ear blight	Monocot	Wheat	MAPKKK	GO:0009405, IMP	GO	0	Loss of pathogenicity 	0	0	0	0	0	0	0	0	0	0	0	0	0	gene deletion	0	AB; AC		17253976	Pubmed	10.1111/j.1462-5822.2006.00887.x	Ramamoorthy et al. (2007) Cellular Microbiology 9(6): 1491-1506	dshah@danforthcenter.org	0	Ramamoorthy et al.	2007
	PHI:1016		Uniprot	FG05484		FG05484	0	0	0	STE11	0	0	5518	Gibberella zeae (related: Fusarium graminearum)	229533	PH-1	Fusarium ear blight	Dicot	Tomato	MAPKKK	GO:0009405, IMP	GO	0	Loss of pathogenicity 	0	0	0	0	0	0	0	0	0	0	0	0	0	gene deletion	0	AB; AC		17253976	Pubmed	10.1111/j.1462-5822.2006.00887.x	Ramamoorthy et al. (2007) Cellular Microbiology 9(6): 1491-1506	dshah@danforthcenter.org	0	Ramamoorthy et al.	2007
	PHI:1017		Uniprot	G4NDE1		MGG_00937.5	0	0	B157	ABC4	0	0	318829	Magnaporthe oryzae	0	0	Rice blast	Monocot	Barley	ABC Transporter	0	0	0	Reduced virulence	0	yes	0	0	yes	0	0	0	0	0	0	0	0	gene disruption	0	MU		18034832	Pubmed	10.1111/j.1574-6968.2007.00937.x	0	0	0	0	0
	PHI:1018		Uniprot	Q3Y5V5		0	0	0	0	ABC3	0	0	318829	Magnaporthe oryzae	0	0	Rice blast	Monocot	Rice	MDR Transporter	0	0	0	Loss of pathogenicity 	0	0	0	0	0	0	0	0	0	0	0	0	0	gene deletion; complementation	0	MU		17189344	Pubmed	10.1105/tpc.105.037861	0	0	0	0	0
	PHI:1018		Uniprot	Q3Y5V5		0	0	0	0	ABC3	0	0	318829	Magnaporthe oryzae	0	0	Rice blast	Monocot	Barley	MDR Transporter	0	0	0	Loss of pathogenicity 	0	0	0	0	0	0	0	0	0	0	0	0	0	gene deletion; complementation	0	MU		17189344	Pubmed	10.1105/tpc.105.037861	0	0	0	0	0
	PHI:1019		Uniprot	Q7BT38		AAC97882	0	0	Hi-C-13	Nec1	0	0	85558	Streptomyces turgidiscabies	85558	Car8	Potato scab	Dicot	Tobacco	secreted protein	0	0	0	Reduced virulence	0	0	0	0	0	0	0	0	0	0	0	0	0	gene deletion; complementation	KHK	0		17555268	PubMed	0	0	0	0	0	2007
	PHI:1020		Uniprot	A8QJI7		0	0	0	0	XlnR	0	0	5507	Fusarium oxysporum	5507	f. sp. lycopersici strain 4287 (race 2)	Vascular wilt	Dicot	Tomato	Transcription factor	0	0	0	Unaffected pathogenicity	0	0	0	0	0	0	0	0	0	0	0	0	0	gene disruption; complementation	0	AB		17722701	PubMed	0	0	ge1hedic@uco.es	0	Calero-Nieto et al.	2007
	PHI:1021		Uniprot	A6N6J8		ABR12478	0	0	4287	CTF1	0	0	5507	Fusarium oxysporum	5507	4287	Vascular wilt	Dicot	Tomato	Putative Zn finger transcription factor	GO:0005634;GO:0003700; GO:0008270; GO:0006355;  	GO	0	Unaffected pathogenicity	0	0	0	0	0	0	wt in liquid; reduced on plate	0	0	0	0	0	0	gene deletion; altered gene expression / gene regulation: overexpression	0	MU		18705871	PubMed	 10.1111/J.1364-3703.2007.00463.X	0	0	Fruit and root infection	Rocha et al	2008
	PHI:1022		Uniprot	A8QJI7		ABN41464	0	0	4288	XLNR	0	0	5507	Fusarium oxysporum	5508	4288	Vascular wilt	Dicot	Tomato	Putative Zn finger transcription factor	0	0	0	Unaffected pathogenicity	0	0	0	0	0	0	0	0	0	0	0	0	0	gene deletion; altered gene expression / gene regulation: overexpression	0	MU		17722701	Pubmed	10.1094/MPMI-20-8-0977	0	0	0	0	0
	PHI:1023		Uniprot	B0BES1		CAP12516	0	0	B05.10	bcnoxA	0	0	40559	Botrytis cinerea	40559	B05.10	Grey mold rot	Dicot	Bean	NADPH Oxidase	GO:0009405;GO:0044412	GO	0	Reduced virulence	0	0	0	Yes	0	Defective sclerotia formation	Slightly reduced	0	0	0	0	0	0	gene deletion; complementation	0	AB; NB		18624644	PubMed	0	0	tudzyns@uni-muenster.de	Reduced growth in presence of H2O2, defective sclerotia formation	Segmuller et al.	2008
	PHI:1023		Uniprot	B0BES1		CAP12516	0	0	B05.10	bcnoxA	0	PHI:1024	40559	Botrytis cinerea	40559	B05.10	Grey mold rot	Dicot	Bean	NADPH Oxidase	GO:0009405;GO:0044412;GO:0044409	GO	0	Reduced virulence	0	0	Yes	Yes	0	Defective sclerotia formation	Slightly reduced	0	0	0	0	0	0	gene deletion; complementation	0	AB; NB		18624644	PubMed	0	0	tudzyns@uni-muenster.de	Double mutant has additive effects, defective sclerotia formation	Segmuller et al.	2008
	PHI:1024		Uniprot	B0BES2		CAP12517	0	0	B05.10	bcnoxB	0	0	40559	Botrytis cinerea	40559	B05.10	Grey mold rot	Dicot	Bean	NADPH Oxidase	GO:0009405;GO:0044409	GO	0	Reduced virulence	0	0	Yes	0	0	Defective sclerotia formation	Slightly reduced	0	0	0	0	0	0	gene deletion; complementation	0	AB; NB		18624644	PubMed	0	0	tudzyns@uni-muenster.de	Reduced growth in presence of H2O2, defective sclerotia formation	Segmuller et al.	2008
	PHI:1024		Uniprot	B0BES2		CAP12517	0	0	B05.10	bcnoxB	0	PHI:1023	40559	Botrytis cinerea	40559	B05.10	Grey mold rot	Dicot	Bean	NADPH Oxidase	GO:0009405;GO:0044412;GO:0044409	GO	0	Reduced virulence	0	0	Yes	Yes	0	Defective sclerotia formation	Slightly reduced	0	0	0	0	0	0	gene deletion; complementation	0	AB; NB		18624644	PubMed	0	0	tudzyns@uni-muenster.de	Double mutant has additive effects, defective sclerotia formation	Segmuller et al.	2008
	PHI:1025		Uniprot	B0BER8		CAP12326	0	0	B05.10	bcnoxR	0	0	40559	Botrytis cinerea	40559	B05.10	Grey mold rot	Dicot	Bean	Regulatory subunit of Nox complex	GO:0009405;GO:0044412;GO:0044409	GO	0	Reduced virulence	0	0	Yes	Yes	0	Defective sclerotia formation	Slightly reduced	0	0	0	0	0	0	gene deletion	0	AB; NB		18624644	PubMed	0	0	tudzyns@uni-muenster.de	Reduced growth in presence of H2O2, defective sclerotia formation	Segmuller et al.	2008
	PHI:1026		Uniprot	P78585		AAB39564	0	0	B05.10	bcplc1	0	0	40559	Botrytis cinerea	40559	B05.10	Grey mold rot	Dicot	Bean	Phospholipase C	0	0	0	Reduced virulence	0	0	No	Yes	Reduced	0	Reduced	Reduced	Yes	0	0	0	0	gene deletion	0	NB		18208491	PubMed	0	0	tudzyns@uni-muenster.de	0	Schumacher et al.	2008
	PHI:1027		Uniprot	O94100		AAC64374	0	0	B05.10	bcpg1	0	0	40559	Botrytis cinerea	40559	B05.10	Grey mold rot	Dicot	Tomato	Endopolygalacturonase	0	0	0	Reduced virulence	0	0	No	Yes	0	0	0	0	0	0	0	0	0	gene disruption	0	NB		9768518	PubMed	0	0	jan.vankan@medew.fyto.wau.nl	Reduced growth on polygalacturonic acid as sole carbon source, Wild type growth on sucrose	ten Have et al.	1998
	PHI:1027		Uniprot	O94100		AAC64374	0	0	B05.10	bcpg1	0	0	40559	Botrytis cinerea	40559	B05.10	Grey mold rot	Dicot	Pear	Endopolygalacturonase	0	0	0	Reduced virulence	0	0	No	Yes	0	0	0	0	0	0	0	0	0	gene disruption	0	NB		0	Not in PubMed	10.1094/PDIS-91-10-1337	Akagi and Stotz (2007) Plant Disease 91, 1337-1344	stotzhe@hort.oregonstate.edu	0	Akagi and Stotz	2007
	PHI:1027		Uniprot	O94100		AAC64374	0	0	B05.10	bcpg1	0	0	40559	Botrytis cinerea	40559	B05.10	Grey mold rot	Dicot	Apple	Endopolygalacturonase	0	0	0	Reduced virulence	0	0	No	Yes	0	0	0	0	0	0	0	0	0	gene disruption	0	NB		9768518	PubMed	0	0	jan.vankan@medew.fyto.wau.nl	Reduced radial growth when grown on polygalacturonic acid as sole carbon source	ten Have et al.	1998
	PHI:1027		Uniprot	O94100		AAC64374	0	0	B05.10	bcpg1	0	0	40559	Botrytis cinerea	40559	B05.10	Grey mold rot	Dicot	Grape	Endopolygalacturonase	0	0	0	Unaffected pathogenicity	0	0	0	0	0	0	0	0	0	0	0	0	0	gene disruption	0	NB		9768518	Pubmed	10.111/J.1364-3703.2005.00312.X	0	jan.vankan@wur.nl	0	Kars et al.	2005
	PHI:1027		Uniprot	O94100		AAC64374	0	0	B05.10	bcpg1	0	PH1:1028	40559	Botrytis cinerea	40559	B05.10	Grey mold rot	Dicot	Tomato	Endopolygalacturonase	0	0	0	Reduced virulence	0	0	No	Yes	0	0	0	0	0	0	0	0	0	gene disruption	0	NB		9768518	Pubmed	10.111/J.1364-3703.2005.00312.X	0	jan.vankan@wur.nl	0	Kars et al.	2005
	PHI:1027		Uniprot	O94100		AAC64374	0	0	B05.10	bcpg1	0	PH1:1028	40559	Botrytis cinerea	40559	B05.10	Grey mold rot	Dicot	Grape	Endopolygalacturonase	0	0	0	Reduced virulence	0	0	No	Yes	0	0	0	0	0	0	0	0	0	gene disruption	0	NB		9768518	Pubmed	10.111/J.1364-3703.2005.00312.X	0	jan.vankan@wur.nl	0	Kars et al.	2005
	PHI:1028		Uniprot	Q9C2Y1		CAC29255	0	0	Bd90	bcpme1	0	0	40559	Botrytis cinerea	40559	Bd90	Grey mold rot	Dicot	Arabidopsis thaliana	pectin methylesterase	0	0	0	Reduced virulence	0	0	Yes	Yes	0	0	0	0	0	0	0	0	0	gene disruption; complementation	0	NB		12744465	PubMed	0	0	boccara@jussieu.fr	0	Valette-Collet et al.	2003
	PHI:1028		Uniprot	Q9C2Y1		CAC29255	0	0	Bd90	bcpme1	0	0	40559	Botrytis cinerea	40559	Bd90	Grey mold rot	Dicot	Apple	pectin methylesterase	0	0	0	Reduced virulence	0	0	No	Yes	0	0	0	0	0	0	0	0	0	gene disruption; complementation	0	NB		12744465	PubMed	0	0	boccara@jussieu.fr	0	Valette-Collet et al.	2003
	PHI:1028		Uniprot	Q9C2Y1		CAC29255	0	0	Bd90	bcpme1	0	0	40559	Botrytis cinerea	40559	Bd90	Grey mold rot	Dicot	Grape	pectin methylesterase	0	0	0	Reduced virulence	0	0	No	Yes	0	0	0	0	0	0	0	0	0	gene disruption; complementation	0	NB		12744465	PubMed	0	0	boccara@jussieu.fr	0	Valette-Collet et al.	2003
	PHI:1028		Uniprot	Q9C2Y1		CAC29255	0	0	B05.10	bcpme1	0	0	40559	Botrytis cinerea	40559	B05.10	Grey mold rot	Dicot	Tomato	pectin methylesterase	0	0	0	Unaffected pathogenicity	0	0	0	0	0	0	0	0	0	0	0	0	0	gene disruption	0	NB		9768518	Pubmed	10.111/J.1364-3703.2005.00312.X	0	jan.vankan@wur.nl	No pectin methylesterase activity	Kars et al.	2005
	PHI:1028		Uniprot	Q9C2Y1		CAC29255	0	0	B05.10	bcpme1	0	0	40559	Botrytis cinerea	40559	B05.10	Grey mold rot	Dicot	Grape	pectin methylesterase	0	0	0	Unaffected pathogenicity	0	0	0	0	0	0	0	0	0	0	0	0	0	gene disruption	0	NB		9768518	Pubmed	10.111/J.1364-3703.2005.00312.X	0	jan.vankan@wur.nl	No pectin methylesterase activity	Kars et al.	2005
	PHI:1028		Uniprot	Q9C2Y1		CAC29255	0	0	B05.10	bcpme1	0	0	40559	Botrytis cinerea	40559	B05.10	Grey mold rot	Dicot	Pear	pectin methylesterase	0	0	0	Unaffected pathogenicity	0	0	0	0	0	0	0	0	0	0	0	0	0	gene disruption	0	NB		12744465	Pubmed	10.1094/PDIS-91-10-1337	0	stotzhe@hort.oregonstate.edu	0	Akagi and Stotz	2007
	PHI:1028		Uniprot	Q9C2Y1		CAC29255	0	0	B05.10	bcpme1	0	PH1:1027	40559	Botrytis cinerea	40559	B05.10	Grey mold rot	Dicot	Tomato	pectin methylesterase	0	0	0	Unaffected pathogenicity	0	0	0	0	0	0	0	0	0	0	0	0	0	gene disruption	0	NB		12744465	Pubmed	10.111/J.1364-3703.2005.00312.X	0	jan.vankan@wur.nl	0	Kars et al.	2007
	PHI:1028		Uniprot	Q9C2Y1		CAC29255	0	0	B05.10	bcpme1	0	PH1:1027	40559	Botrytis cinerea	40559	B05.10	Grey mold rot	Dicot	Grape	pectin methylesterase	0	0	0	Unaffected pathogenicity	0	0	0	0	0	0	0	0	0	0	0	0	0	gene disruption	0	NB		12744465	Pubmed	10.111/J.1364-3703.2005.00312.X	0	jan.vankan@wur.nl	0	Kars et al.	2007
	PHI:1028		Uniprot	Q9C2Y1		CAC29255	0	0	B05.10	bcpme1	0	PH1:1027	40559	Botrytis cinerea	40559	B05.10	Grey mold rot	Dicot	Pear	pectin methylesterase	0	0	0	Reduced virulence	0	0	No	Yes	0	0	0	0	0	0	0	0	0	gene disruption	0	NB		12744465	Pubmed	10.1094/PDIS-91-10-1337	0	stotzhe@hort.oregonstate.edu	0	Akagi and Stotz	2007
	PHI:1029		Uniprot	Q8X116		CAD21438	0	0	B05.10	bcpme2	0	0	40559	Botrytis cinerea	40559	B05.10	Grey mold rot	Dicot	Tomato	pectin methylesterase	0	0	0	Unaffected pathogenicity	0	0	0	0	0	0	0	0	0	0	0	0	0	gene disruption	0	NB		0	Not in PubMed	10.111/J.1364-3703.2005.00312.X	Kars et al (2005) Mol. Plant Pathol. 6, 641-652	jan.vankan@wur.nl	0	Kars et al.	2007
	PHI:1029		Uniprot	Q8X116		CAD21438	0	0	B05.10	bcpme2	0	0	40559	Botrytis cinerea	40559	B05.10	Grey mold rot	Dicot	Grape	pectin methylesterase	0	0	0	Unaffected pathogenicity	0	0	0	0	0	0	0	0	0	0	0	0	0	gene disruption	0	NB		0	Not in PubMed	10.111/J.1364-3703.2005.00312.X	Kars et al (2005) Mol. Plant Pathol. 6, 641-652	jan.vankan@wur.nl	0	Kars et al.	2007
	PHI:1029		Uniprot	Q8X116		CAD21438	0	0	B05.10	bcpme2	0	PH1:1028	40559	Botrytis cinerea	40559	B05.10	Grey mold rot	Dicot	Tomato	pectin methylesterase	0	0	0	Unaffected pathogenicity	0	0	0	0	0	0	0	0	0	0	0	0	0	gene disruption	0	NB		0	Not in PubMed	10.111/J.1364-3703.2005.00312.X	Kars et al (2005) Mol. Plant Pathol. 6, 641-652	jan.vankan@wur.nl	0	Kars et al.	2007
	PHI:1029		Uniprot	Q8X116		CAD21438	0	0	B05.10	bcpme2	0	PH1:1028	40559	Botrytis cinerea	40559	B05.10	Grey mold rot	Dicot	Grape	pectin methylesterase	0	0	0	Unaffected pathogenicity	0	0	0	0	0	0	0	0	0	0	0	0	0	gene disruption	0	NB		0	Not in PubMed	10.111/J.1364-3703.2005.00312.X	Kars et al (2005) Mol. Plant Pathol. 6, 641-652	jan.vankan@wur.nl	0	Kars et al.	2007
	PHI:1030		Uniprot	O60034		CAA93142	0	0	B05.10	bcatrA	0	0	40559	Botrytis cinerea	40559	B05.10	Grey mold rot	Dicot	Tomato	ABC Transporter	0	0	0	Unaffected pathogenicity	0	0	0	0	0	0	0	0	0	0	0	0	0	gene deletion	0	NB		18515055	PubMed	0	0	miruocco@unina.it	0	Del Sorbo et al.	2008
	PHI:1030		Uniprot	O60034		CAA93142	0	0	B05.10	bcatrA	0	0	40559	Botrytis cinerea	40559	B05.10	Grey mold rot	Dicot	Bean	ABC Transporter	0	0	0	Unaffected pathogenicity	0	0	0	0	0	0	0	0	0	0	0	0	0	gene deletion	0	NB		18515055	PubMed	0	0	miruocco@unina.it	Accumulation of transcripts 6, 12 and 24 hours post inoculation	Del Sorbo et al.	2008
	PHI:1030		Uniprot	O60034		CAA93142	0	0	B05.10	bcatrA	0	0	40559	Botrytis cinerea	40559	B05.10	Grey mold rot	Dicot	Vicia faba	ABC Transporter	0	0	0	Unaffected pathogenicity	0	0	0	0	0	0	0	0	0	0	0	0	0	gene deletion	0	NB		18515055	PubMed	0	0	miruocco@unina.it	0	Del Sorbo et al.	2008
	PHI:1031		Uniprot	A1IVT7		CAJ85638	0	0	B05.10	bcSAK1	0	0	40559	Botrytis cinerea	40559	B05.10	Grey mold rot	Dicot	Bean	Stress activated MAPK	0	0	0	Reduced virulence	0	Yes	Yes	Yes	Blocked	0	Reduced	0	0	0	0	0	0	gene deletion; complementation	0	NB		17189492	PubMed	0	0	tudzyns@uni-muenster.de	Increased osmotic and H2O2 sensitivity, increased sclerotia	Segmuller et al.	2007
	PHI:1032		Uniprot	Q000T6		ABJ51957	0	0	B05.10	Bmp3	0	0	40559	Botrytis cinerea	40559	B05.10	Grey mold rot	Dicot	Onion	MAPK	0	0	0	Reduced virulence	0	Yes	Yes	Yes	Strongly imparied	0	Reduced	Overelongated germ tube	0	0	0	0	0	gene disruption; complementation	0	NB		0	Not in PubMed	10.1111/J.1364-3703.2007.00383.X	Rui and Hahn 2007) Mol. Plant Pathol. 8, 173-184	hahn@rhrk.uni-kl.de	Increased sensitivity to low osmolarity, loss of sclerotia	Rui and Hahn	2007
	PHI:1032		Uniprot	Q000T6		ABJ51957	0	0	B05.10	Bmp3	0	0	40559	Botrytis cinerea	40559	B05.10	Grey mold rot	Dicot	Tomato	MAPK	0	0	0	Reduced virulence	0	Yes	Yes	Yes	Strongly imparied	0	Reduced	Overelongated germ tube	0	0	0	0	0	gene disruption; complementation	0	NB		0	Not in PubMed	10.1111/J.1364-3703.2007.00383.X	Rui and Hahn 2007) Mol. Plant Pathol. 8, 173-184	hahn@rhrk.uni-kl.de	Increased sensitivity to low osmolarity, loss of sclerotia	Rui and Hahn	2007
	PHI:1032		Uniprot	Q000T6		ABJ51957	0	0	B05.10	Bmp3	0	0	40559	Botrytis cinerea	40559	B05.10	Grey mold rot	Dicot	Gerbera flower petals	MAPK	0	0	0	Reduced virulence	0	Yes	Yes	Yes	Strongly imparied	0	Reduced	Overelongated germ tube	0	0	0	0	0	gene disruption; complementation	0	NB		0	Not in PubMed	10.1111/J.1364-3703.2007.00383.X	Rui and Hahn 2007) Mol. Plant Pathol. 8, 173-184	hahn@rhrk.uni-kl.de	Increased sensitivity to low osmolarity, loss of sclerotia	Rui and Hahn	2007
	PHI:1034		Uniprot	O60038		CAA04716	0	0	T5	Cpcat1	0	0	5111	Claviceps purpurea	5111	20.1	Ergot	Monocot	Rye	Secreted catalase	0	0	0	Unaffected pathogenicity	0	0	0	0	0	0	WT	0	0	0	0	0	0	gene disruption	0	NB; AC		9675893	PubMed	10.1094/MPMI.1998.11.8.772	Garre et al. (1998) Molecular Plant Microbe Interactions 11(8): 772-783	tudzyns@uni-muenster.de	85 fold reduction in catalase activity	Garre et al.	1998
	PHI:1035		Uniprot	B0BER9		CAP12327	0	0	T5	Cpnox1	0	0	5111	Claviceps purpurea	5111	20.1	Ergot	Monocot	Rye	NADPH Oxidase	0	0	0	Reduced virulence	0	Yes	0	Yes	0	0	WT	Reduced	0	0	0	0	0	gene disruption; complementation	0	NB; AC		18705873	PubMed	10.1111/j.1364-3703.2008.00466.x	Giesbert et al. (2008) Molecular Plant Pathology 9(3): 317-327	tudzyns@uni-muenster.de	Sclerotia were few, misshapen and not fully matured. Expression highest at late stage of infection 	Giesbert et al.	2008
	PHI:1036		Uniprot	B0B5Z8		CAO82105	0	0	T5	Rac	0	0	5111	Claviceps purpurea	5111	20.1	Ergot	Monocot	Rye	GTPase	0	0	0	Loss of pathogenicity 	0	Yes	Yes	Yes	None	0	Hyperbranching	0	0	0	0	0	0	gene deletion; complementation	0	NB; AC		18284596	PubMed	10.1111/j.1365-2958.2008.06159.x	Rolke and Tudzynski (2008) Molecular Microbiology 68(2): 405-423	tudzyns@uni-muenster.de	Rac and Cla4 interact directly	Rolke and Tudzynski	2008
	PHI:1037		Uniprot	B0B5Z9		CAO82106	0	0	T5	Cla4	0	0	5111	Claviceps purpurea	5111	20.1	Ergot	Monocot	Rye	p21-activated kinase	0	0	0	Loss of pathogenicity 	0	Yes	Yes	Yes	None	0	Hyperbranching	0	0	0	0	0	0	gene deletion; complementation	0	NB; AC		18284596	PubMed	10.1111/j.1365-2958.2008.06159.x	Rolke and Tudzynski (2008) Molecular Microbiology 68(2): 405-423	tudzyns@uni-muenster.de	Rac and Cla4 interact directly	Rolke and Tudzynski	2008
	PHI:1038		Uniprot	A3KLI8		CAM56211	0	0	T5	Ku70	0	0	5111	Claviceps purpurea	5111	20.1	Ergot	Monocot	Rye	Subunit of a three protein DNA-dependent protein kinase complex	0	0	0	Unaffected pathogenicity	0	0	0	0	0	0	WT	WT	0	0	0	0	0	gene deletion	0	NB; AC		17560817	PubMed	10.1016/j.fgb.2007.04.008 	Haarmann et al. (2007) Fungal Genetics and Biology 45(1): 35-44	tudzyns@uni-muenster.de	0	Haarmann et al.	2008
	PHI:1039		Uniprot	A3KLI8		CAM56211	0	0	T5	Ku70	0	0	5111	Claviceps purpurea	5111	PI	Ergot	Monocot	Rye	Subunit of a three protein DNA-dependent protein kinase complex	0	0	0	Unaffected pathogenicity	0	0	0	0	0	0	WT	WT	0	0	0	0	0	gene deletion	0	NB; AC		17560817	PubMed	10.1016/j.fgb.2007.04.008 	Haarmann et al. (2007) Fungal Genetics and Biology 45(1): 35-44	tudzyns@uni-muenster.de	Non pathogenic strain	Haarmann et al.	2008
	PHI:1040		Uniprot	B5DBZ7		AM905386	0	0	v23.1.3	Lmgpi15	0	0	5022	Leptosphaeria maculans	5022	v23.1.3	Phoma stem canker	Dicot	Canola	component of GPI anchor biosynthetic pathway	0	0	glycosylphosphatidylinositol anchor biosynthesis	Reduced virulence	0	0	0	Yes	0	0	reduced by up to 40%	0	0	0	0	0	0	gene disruption; complementation	BH	SD; AC		18557818	PubMed	10.1111/j.1469-8137.2008.02522.x	Remy et al. (2008) New Phytologist 179:1105-1120	rouxel@versailles.inra.fr	Tested in B. napus cv. Westar	Remy et al.	2008
	PHI:1041		Uniprot	B3LDT4		AM933613	0	0	v23.1.3	Lmpma1	0	0	5022	Leptosphaeria maculans	5022	v23.1.3	Phoma stem canker	Dicot	Canola	plasma membrane H+ATPase	0	0	0	Loss of pathogenicity 	0	Yes	0	0	0	0	unaffected	blocked on plant host surface	0	0	0	0	0	gene disruption; complementation	BH	SD; AC		18538267	PubMed	10.1016/j.fgb.2008.04.008	Remy et al. (2008) Fungal Genetics and Biology  45:1122-1134	rouxel@versailles.inra.fr	Tested in B. napus cv. Westar	Remy et al.	2008
	PHI:1042		Uniprot	Q1G7H6		0	0	0	IPO323	MgSlt2	0	0	336722	Zymoseptoria triticii (related: Mycosphaerella graminicola)	336722	IPO323	Septoria leaf blotch	Monocot	Wheat	MAP kinase	0	0	Signal transduction	Reduced virulence	0	0	0	Yes	Defective	0	Slowed	wildtype	0	0	0	0	0	gene disruption	0	SD		16610742	PubMed	10.1094/MPMI-19-0389	0	gert.kema@wur.nl	0	Mehrabi et al. 	2006
	PHI:1043		Uniprot	Q1KTF2		0	0	0	IPO323	MgHog1	0	0	336722	Zymoseptoria triticii (related: Mycosphaerella graminicola)	336722	IPO323	Septoria leaf blotch	Monocot	Wheat	MAP kinase	0	0	0	Loss of pathogenicity 	0	Yes	0	0	0	0	altered hyphal morphology	0	0	0	0	0	0	gene disruption	0	SD		17073308	PubMed	10.1094/MPMI-19-1262	0	gert.kema@wur.nl	0	Mehrabi et al. 	2006
