Record ID	PHI_MolConn_ID	IdentifierTypeOfProteinID	ProteinID	IdentifierTypeOfGeneLocusID	GeneLocusID	AA sequence #no EMBL#	NT sequence #no EMBL#	Genomic sequence providing strain	Gene_name	Genome location	Specific modification/s to the targeted protein or promoter	Accession ID for the modified genetic element  	Known interacting protein(s) in the pathogen	Interacting protein - locus ID 	Multiple_mutation	Pathogen_NCBI_species_Taxonomy ID	Pathogen_species	Pathogen_NCBI_strain_Taxonomy_ID	Experimental_strain	Disease_name	Host_descripton	Host_NCBI_Taxonomy_ID	Experimental_host_species	Host_strain_genotype_or cultivar_taxonomy_ID_NCBI	HostGenotype_definedGene of interest	HostGenotype_definedGene of interest _AccessionID	tissue_type	Function	GO_annotation	Database	Pathway_secretion_systems	Phenotype_of_mutant	Mating_defect_prior_to_penetration	Pre_penetration_defect	Penetration_defect	Post_penetration_defect	Disease_development_macroscopically_visible	Vegetative_spores	Sexual_spores	In_vitro_growth	Spore_germination	Essential_gene_Lethal_knockout	Inducer	ChemicalAccession (Chebi/CAS)	Tested Host_target	TestedHostTarget_AccessionID	Interaction phenotype	Host_response	Experimental_evidence	Transient Assay Experimental Evidence	Species_Expert	Entered_by	Literature_ID	Literature_source	DOI	Full_citation	Author_email	Comments	Reference 	Year_published	Curation details	File_name_pdf_files_provided	_batch_no_	Curated(Month/Year)	_curator_organisation_	__lab__	__FG_mycotoxin__	Additional IdentifierTypeOfGeneLocusID	Additional GeneLocusID	Anti-infective (Chemical)	Compound	Target site	Group name	Chemical group	Mode in planta	FRAC CODE	Additional comments  on anti-infectives	phi3_pars											
Record 417	PHI:398	Uniprot	Q00202	EMBL	CAA87390				PacC							162425	Aspergillus nidulans	162425		Aspergillosis	Rodents	10090	Mus musculus (related: House mouse)					pH signalling transcription factor	"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption; gene mutation: characterised			TKB; MU	15686555	PubMed	10.1111/j.1365-2958.2004.04472.x				Bignell et al.	2005			PHI-base Vers.3.3		Rres																								
Record 418	PHI:399	Uniprot	Q59X23	EMBL	EAK95207 			SC5314	PMT4							5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					Mannosyltransferase	"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption			TKB	15659169	PubMed					Prill et al.	2005			PHI-base Vers.3.3		Rres																								
Record 419	PHI:401	Uniprot	O13401	EMBL	AAB86583				SOD2							5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					Manganese superoxide dismutase				Unaffected pathogenicity																	gene disruption; gene complementation			TKB	12898709	PubMed	10.1002/yea.1004				Hwang et al.	2003			PHI-base Vers.3.3		Rres																								
Record 420	PHI:402	Uniprot	Q99078	EMBL	AAA62242			FBD12	FUZ7							5270	Ustilago maydis	5270	"FB1, FB2, SG200, HA1033"	Corn smut	Monocots	4577	Zea mays (related: Maize)					MAP kinase kinase	"GO:0009405, IMP"	GO	Possibly 2 pathways plant/fungal signals	Loss of pathogenicity 	Yes																gene disruption			MU	7926737; 14665454	PubMed					Banuett and Herskowitz; Muller et al.	"1994, 2003"			PHI-base Vers.3.3		Rres																								
Record 421	PHI:404	Uniprot	Q9Y784	EMBL	AAD30436			4091-5-8	PTH11							318829	Magnaporthe oryzae	1274781	4091-5-8	Rice blast	Monocots	4530	Oryza sativa (related: Rice)					Membrane protein	"GO:0009405, IMP; GO:0051701, IMP"	GO		Reduced virulence		Yes	No	No		Wild type	Wild type										gene disruption			MU	9574508; 10521529	PubMed				Identification by REMI. Appressoria formation was 10-15% of wild-type frequencies	Sweigard et al.; DeZwann et al.	"1998, 1999"			PHI-base Vers.3.3		Rres																								
Record 422	PHI:405	Uniprot	Q9C2Y4	EMBL	AAK07740			Guy11	PDE1							318829	Magnaporthe oryzae			Rice blast	Monocots	4530	Oryza sativa (related: Rice)					Tagged; aminophospholipid translocase 	"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption; gene complementation			MU	11549759	PubMed				partial gene disruption and S. cerevisiae mutant complementation	Balhadere et al.; Balhadere and Talbot	"1999, 2001"			PHI-base Vers.3.3		Rres																								
Record 423	PHI:406	Uniprot	Q9UQY5	EMBL	AAF09452				UBC3							5270	Ustilago maydis	5270		Corn smut	Monocots	4577	Zea mays (related: Maize)					MAP kinase	"GO:0009405, IMP"	GO		Reduced virulence						Wild type	Sterile	Wild type									gene disruption			MU	10564490; 14665454	PubMed					Mayorga and Gold; Muller et al.	"1999, 2003"			PHI-base Vers.3.3		Rres																								
Record 424	PHI:407	Uniprot	Q9Y7G8	EMBL	CAB40372			JH26	PBC1							76659	Pyrenopeziza brassicae	76659		Light leaf spot	Eudicots	3708	Brassica napus (related: Rape)					Cutinase	"GO:0009405, IMP; GO:0044409"	GO		Loss of pathogenicity 		No	Yes	No Data													gene disruption			TKB; MU; KHK; AC	12795380	PubMed					Li et al. ; Davies et al.	2003			PHI-base Vers.3.3		Rres																								
Record 425	PHI:409	Uniprot	Q8J1Y3	EMBL	AAN41259				BbCHIT1							176275	Beauveria bassiana	176275			Aphids	27482	Aphididae (related: Aphids)					Chitinase				Increased virulence (Hypervirulence)																	altered gene expression / gene regulation: overexpression			TKB	15640210	PubMed	10.1128/AEM.71.1.363-370.2005				Fang et al.	2005			PHI-base Vers.3.3		Rres																								
Record 426	PHI:410	Uniprot	Q5IFQ6	EMBL	AAW56834			H99	SOD2							5207	Cryptococcus neoformans	5207	H99	Cryptococcosis	Rodents	10090	Mus musculus (related: House mouse)					Superoxide dismutase	"GO:0009405, IMP"	GO		Loss of pathogenicity 																	gene disruption; gene complementation			TKB; KHK	15643059	PubMed					Giles et al.	2005			PHI-base Vers.3.3		Rres																								
Record 427	PHI:411	Uniprot	Q5SC91	EMBL	AAV54029			521	ROP1							5270	Ustilago maydis	5270	"FB1, FB2, SG200, HA232"	Corn smut	Monocots	4577	Zea mays (related: Maize)					Transcription factor				Unaffected pathogenicity	No	No	No 	No				"Mating, pheromone response and filamentation defects"									gene deletion			TKB	15701800	PubMed	10.1128/EC.4.2.379-391.2005		kahmann@staff.uni-marburg.de		Brefort et al.	2005			PHI-base Vers.3.3		Rres																								
Record 428	PHI:412	Uniprot	Q5J7N6	EMBL	AAS64313				CHAP1							5016	Cochliobolus heterostrophus	5016	C4	Leaf blight	Monocots	4577	Zea mays (related: Maize)					Transcription factor				Unaffected pathogenicity																	gene disruption; gene complementation			TKB	15701806	PubMed	10.1128/EC.4.2.443-454.2005		Israel. horwitz@tx.technion.ac.il		Lev et al.	2005			PHI-base Vers.3.3		Rres																								
Record 429	PHI:413	Uniprot	Q5GFD3	EMBL	AAT84078				MPD1							13684	Parastagonospora nodorum			Glume blotch	Monocots	4564	Triticum (related: Wheat)					Mannitol 1-phosphate dehydrogenase 	GO:0008926	GO		Unaffected pathogenicity		No	No	No		No sporulation											gene disruption		RO	TKB; MU; KHK; AC	15720079	PubMed	10.1094/MPMI-18-0110	Solomon et al. (2005) Mol Plant Microbe Interact. 18 (2): 110-115	roliver@murdoch.edu.au		Solomon et al.	2005			PHI-base Vers.3.3		Rres			Broad	SNOG_12666																				
Record 430	PHI:414	Uniprot	Q696X2	EMBL	AAT73077				GOX1							13684	Parastagonospora nodorum			Glume blotch	Monocots	4565	Triticum aestivum (related: Bread wheat)					Glyoxalase				Unaffected pathogenicity		No	No	No													gene disruption		RO	TKB; MU; AC	15205912	PubMed	10.1007/s00294-004-0514-8	Solomon et al. (2004) Current Genetics 46(2);115-121	psolomon@murdoch.edu.au		Solomon et al.	2004			PHI-base Vers.3.3		Rres			Broad	SNOG_13161																				
Record 431	PHI:415	Uniprot	F5HCK8	Broad	SNOG_02041				IPMDH							13684	Parastagonospora nodorum			Glume blotch	Monocots	4564	Triticum (related: Wheat)					3-isopropylmalate dehydrogenase	"GO:0003862; GO:0009405, IMP"	GO	biosynthesis pathway to leucine	Loss of pathogenicity 		No Data	No Data	No Data													gene deletion; gene complementation			TKB; MU		Not in PubMed		Cooley et al. 1999  PESTICIDE SCIENCE 55(3) 364-367			Cooley et al.	1999			PHI-base Vers.3.3		Rres			Broad	SNOG_02041																				
Record 432	PHI:416	Uniprot	Q5D6D3	EMBL	AAX09988				NPS6							5016	Cochliobolus heterostrophus	5016	C4	Leaf blight	Monocots	4577	Zea mays (related: Maize)					Non-ribosomal peptide synthetase	"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption			TKB	15755917	PubMed	10.1128/EC.4.3.545-555.2005				Lee et al.	2005			PHI-base Vers.3.3		Rres																								
Record 433	PHI:416	Uniprot	Q5D6D3	EMBL	AAX09988				NPS6							5016	Cochliobolus heterostrophus	5016	C4	Leaf blight	Monocots	4577	Zea mays (related: Maize)					Non-ribosomal peptide synthetase	"GO:0009405, IMP"	GO		Reduced virulence																	gene deletion; gene complementation			AB	17056706	Pubmed			bgt1@cornell.edu	Complementation made using orthologue. Hypersensitivity to H2O2. Increased sensitivity to iron depletion.	Oide et al.	2006			PHI-base Vers.3.3		Rres																								
Record 434	PHI:417	Uniprot	G4NEB8	Genbank	EHA48601 				MST7							318829	Magnaporthe oryzae		Guy11	Rice blast	Monocots	4530	Oryza sativa (related: Rice)					MAP kinase kinase	"GO:0009405, IMP; GO:0044409, IMP; GO:0044412, IMP; GO:0048622, IMP"	GO		Loss of pathogenicity 		Yes	Yes	Yes													gene deletion; gene complementation			TKB; MU	15749760	PubMed					Zhao et al.	2005			PHI-base Vers.3.3		Rres																								
Record 435	PHI:418	Uniprot	G4N7X0	Genbank	EHA50924				MST11							318829	Magnaporthe oryzae		Guy11	Rice blast	Monocots	4530	Oryza sativa (related: Rice)					MAP kinase kinase kinase	"GO:0009405, IMP; GO:0044409, IMP; GO:0044412, IMP; GO:0048622, IMP"	GO		Loss of pathogenicity 		Yes	Yes	Yes													gene deletion; gene complementation			TKB; MU	15749760	PubMed					Zhao et al.	2005			PHI-base Vers.3.3		Rres																								
Record 436	PHI:419	Uniprot	Q7Z8E8	EMBL	AAP93915			R3b	CSH1							5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					Cell surface protein	"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption; gene complementation			TKB	15766793	PubMed	10.1016/j.femsle.2005.02.010				Singleton et al.	2005			PHI-base Vers.3.3		Rres																								
Record 437	PHI:420	Uniprot	Q6TDT0	EMBL	AAS19620			ATCC 32609; NIH 444	SOD2						PHI:318	552467	Cryptococcus gattii			Meningoencephalitis	Rodents	10090	Mus musculus (related: House mouse)					Superoxide dismutase	"GO:0009405, IGI"	GO		Loss of pathogenicity 																	gene disruption; gene complementation			TKB; SH	15752200	PubMed	10.1111/j.1365-2958.2005.04503.x			formerly known as Cryptococcus bacillisporus	Narasipura et al.	2005			PHI-base Vers.3.3		Rres																								
Record 438	PHI:420	Uniprot	Q6TDT0	EMBL	AAS19620			ATCC 32609; NIH 444	SOD2							552467	Cryptococcus gattii			Meningoencephalitis	Rodents	10090	Mus musculus (related: House mouse)					Superoxide dismutase	"GO:0009405, IMP"	GO		Loss of pathogenicity 																	gene disruption; gene complementation			TKB; SH	15752200	PubMed	10.1111/j.1365-2958.2005.04503.x			formerly known as Cryptococcus bacillisporus	Narasipura et al.	2005			PHI-base Vers.3.3		Rres																								
Record 439	PHI:422	Uniprot	Q9C402	EMBL	AAK01665			H99	SOD1						PHI:668	5207	Cryptococcus neoformans	178876	var. grubii H99 (Serotype A)	Cryptococcosis	Rodents	10090	Mus musculus (related: House mouse)					Superoxide dismutase	"GO:0004785, NAS; GO:0009405, IMP"	GO		Reduced virulence																	gene disruption		AI	SH; KHK	14614821	PubMed				Tested in A/Jcr mice; Significantly more attenuated for virulence than the fhb1 and sod1 single mutants					PHI-base Vers.3.3		Rres																								
Record 440	PHI:422	Uniprot	Q9C402	EMBL	AAK01665			H99	SOD1							5207	Cryptococcus neoformans	178876	var. grubii H99 (Serotype A)	Cryptococcosis	Rodents	10090	Mus musculus (related: House mouse)					Superoxide dismutase	"GO:0004785, NAS; GO:0009405, IMP"	GO		Reduced virulence																	gene disruption; gene complementation			TKB; SH	12496163; 14614821	PubMed				Tested in A/Jcr mice	Cox et al.	2003			PHI-base Vers.3.3		Rres																								
Record 441	PHI:422	Uniprot	Q9C402	EMBL	AAK01665			H99	SOD1						PHI:667	5207	Cryptococcus neoformans	178876	var. grubii H99 (Serotype A)	Cryptococcosis	Rodents	10090	Mus musculus (related: House mouse)					Superoxide dismutase	"GO:0004785, NAS; GO:0009405, IMP"	GO		Reduced virulence																	gene disruption		AI	SH; KHK	14614821	PubMed				Tested in A/Jcr mice; Significantly more attenuated for virulence than the fhb1 and sod1 single mutants					PHI-base Vers.3.3		Rres																								
Record 442	PHI:423	Uniprot	Q58Z64	EMBL	AAV41010				VAD1							5207	Cryptococcus neoformans	5207	H99	Cryptococcosis	Rodents	10090	Mus musculus (related: House mouse)					RNA helicase	"GO:0009405, IMP"	GO		Reduced virulence																	gene deletion; gene complementation			TKB; KHK	15765146	PubMed					Panepinto et al.	2005			PHI-base Vers.3.3		Rres																								
Record 443	PHI:424	Uniprot	F5HAA8	EMBL	EAL19243			B-3501A	PCK1							5207	Cryptococcus neoformans	5207	H99	Cryptococcosis	Rodents	10090	Mus musculus (related: House mouse)					Phosphoenolpyruvate carboxykinase	"GO:0004612; GO:0009405, IMP"	GO		Reduced virulence																	gene deletion; gene complementation			TKB; KHK	15765146	PubMed					Panepinto et al.	2005			PHI-base Vers.3.3		Rres																								
Record 444	PHI:425	Uniprot	F5HEZ0	EMBL	EAL17726			B-3501A	MPF3							5207	Cryptococcus neoformans	5207	H99	Cryptococcosis	Rodents	10090	Mus musculus (related: House mouse)					Mannoprotein	"GO:0009405, IMP"	GO		Reduced virulence																	gene deletion; gene complementation			TKB; KHK	15765146	PubMed					Panepinto et al.	2005			PHI-base Vers.3.3		Rres																								
Record 445	PHI:427	Uniprot	Q5AP71	EMBL	EAL04880			SC5314	TPK1							5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					PKA catalytic subunit			Ras-protein kinase A	Unaffected pathogenicity																	gene disruption; gene complementation			TKB	15760450	PubMed	10.1111/j.1462-5822.2004.00476.x				Park et al.	2005			PHI-base Vers.3.3		Rres																								
Record 446	PHI:428	Uniprot	Q9P932	EMBL	AAF64072			strain 1161	TPK2							5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					PKA catalytic subunit	"GO:0009405, IMP"	GO	Ras-protein kinase A	Reduced virulence																	gene disruption; gene complementation			TKB	15760450	PubMed	10.1111/j.1462-5822.2004.00476.x				Park et al.	2005			PHI-base Vers.3.3		Rres																								
Record 447	PHI:429	Uniprot	Q8J0E2	EMBL	CAD43407			UPS9	ClPLS1							290576	Colletotrichum lindemuthianum	290576		Anthracnose	Eudicots	3885	Phaseolus vulgaris (related: String bean)					Tetraspanin	"GO:0009405, IMP; GO:0044409; GO:0044412"	GO		Loss of pathogenicity 		No	Yes	Yes													gene deletion; gene complementation			TKB; MU	15749050	PubMed	10.1016/j.fgb.2005.01.009				Veneault-Fourrey et al.	2005			PHI-base Vers.3.3		Rres																								
Record 448	PHI:430	Uniprot	Q5EGQ2	EMBL	AAW72937			JEC21	BWC1							5207	Cryptococcus neoformans	5207	H99	Cryptococcosis	Rodents	10090	Mus musculus (related: House mouse)					UV/Blue Light Response	"GO:0009405, IMP"	GO		Reduced virulence																	gene deletion; gene complementation			TKB; KHK	15760278	PubMed	10.1371/journal.pbio.0030095			Interacts with BWC2	Idnurm and Heitman	2005			PHI-base Vers.3.3		Rres																								
Record 449	PHI:431	Uniprot	Q5EGQ1	EMBL	AAW72938			JEC21	BWC2							5207	Cryptococcus neoformans	5207	H99	Cryptococcosis	Rodents	10090	Mus musculus (related: House mouse)					Transcription factor; Zinc finger DNA binding domain; UV/Blue Light Response	"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption; gene deletion; gene complementation			TKB; KHK	15760278	PubMed	10.1371/journal.pbio.0030095			Interacts with BWC1	Idnurm and Heitman	2005			PHI-base Vers.3.3		Rres																								
Record 450	PHI:432	Uniprot	Q6WER3	EMBL	AAQ23181				FGL1							5518	Fusarium graminearum (related: Gibberella zeae)	229533	8/1	Fusarium ear blight	Monocots	4577	Zea mays (related: Maize)					Secreted Lipase	"GO:0009405, IMP; GO:0016789"	GO		Reduced virulence		No	No Data	No Data													gene disruption			TKB; AB; AC	15842622	PubMed	10.1111/j.1365-313X.2005.02377.x	Voigt et al. (2005) Plant Journal 42(3): 364-375	schaefer@botanik.uni-hamburg.de		Voigt et al.	2005			PHI-base Vers.3.3		Rres																								
Record 451	PHI:432	Uniprot	Q6WER3	EMBL	AAQ23181				FGL1							5518	Fusarium graminearum (related: Gibberella zeae)	229533	8/1	Fusarium ear blight	Monocots	4564	Triticum (related: Wheat)					Secreted Lipase	"GO:0009405, IMP; GO:0016789"	GO		Reduced virulence		No	No Data	No Data													gene disruption			TKB; AB; AC	15842622	PubMed	10.1111/j.1365-313X.2005.02377.x	Voigt et al. (2005) Plant Journal 42(3): 364-375	schaefer@botanik.uni-hamburg.de		Voigt et al.	2005			PHI-base Vers.3.3		Rres																								
Record 452	PHI:433	Uniprot	Q6DQW3	EMBL	AAT69682				CTB1							29003	Cercospora nicotianae	29003			Eudicots	4097	Nicotiana tabacum (related: Common tobacco)					Polyketide synthase	"GO:0009405, IMP; GO:0044412"	GO		Reduced virulence		No	No	Yes													gene disruption; gene deletion; gene complementation			TKB	15915645	PubMed				CTB1 is required for cercosporin biosynthesis. Isolated from a library of REMI mutants	Choquer et al.	2005			PHI-base Vers.3.3		Rres																								
Record 453	PHI:434	Uniprot	P0C954	EMBL	EAL88984                 			Af293	GEL2							746128	Aspergillus fumigatus			Aspergillosis	Rodents	10090	Mus musculus (related: House mouse)					"Beta-1,3-glucanosyltransferase"	"GO:0009405, IMP"	GO		Reduced virulence																	gene deletion; gene complementation			TKB; MU	15916615	PubMed	10.1111/j.1365-2958.2005.04654.x				Mouyna et al.	2005			PHI-base Vers.3.3		Rres																								
Record 454	PHI:435	Uniprot	Q5AHJ0	EMBL	EAL02110 			SC5314	VMA7							5476	Candida albicans	5476	SC5314	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					H+-ATPase	"GO:0009405, IMP"	GO		Loss of pathogenicity 																	gene disruption; gene complementation			TKB	15870472	PubMed	10.1099/mic.0.27505-0								PHI-base Vers.3.3		Rres																								
Record 455	PHI:436	Uniprot	Q8NJN5	EMBL	AAN03477				ESS1							5207	Cryptococcus neoformans	5207	JEC 43 (Serotype D)	Cryptococcosis	Rodents	10090	Mus musculus (related: House mouse)					Peptidyl-prolyl cis/trans isomerases	"GO:0009405, IMP"	GO		Reduced virulence																	gene deletion; gene complementation			TKB; KHK	15870468	PubMed	10.1099/mic.0.27786-0				Ren et al.	2005			PHI-base Vers.3.3		Rres																								
Record 456	PHI:437	Uniprot	P78608	EMBL	CAA71247			T5	CPPG2						PHI:247	5111	Claviceps purpurea	5111	20.1	Ergot	Monocots	4550	Secale cereale (related: Rye)					Endopolygalacturonase	"GO:0009405, IGI; GO:0044412"	GO		Loss of pathogenicity 		No	No	Yes													gene deletion; gene complementation			TKB; MU; AC	12135573	PubMed	10.1016/S1087-1845(02)00020-8	Oeser et al. (2002) Fungal Genetics and Biology 36(3): 176-186	tenberg@uni-muenster.de		Oeser et al.	2002			PHI-base Vers.3.3		Rres																								
Record 457	PHI:438	Uniprot	Q6WP49	EMBL	AAQ16576			T4	BcBOT1 (CND5)							40559	Botrytis cinerea	40559		Grey mould	Eudicots	3885	Phaseolus vulgaris (related: String bean)					Cytochrome P450 monooxygenase	"GO:0009405, IMP; GO:0044412"	GO		Reduced virulence		No	No	Yes		No Data	No Data										gene deletion			TKB; MU	15986930	PubMed				"Essential for botrydiol toxin synthesis, Reduced Virulence-strain specific"	Siewers et al.	2005			PHI-base Vers.3.3		Rres																								
Record 458	PHI:438	Uniprot	Q6WP49	EMBL	AAQ16576			T4	BcBOT1 (CND5)							40559	Botrytis cinerea	40559		Grey mould	Eudicots	4081	Solanum lycopersicum (related: Tomato)					Cytochrome P450 monooxygenase	"GO:0009405, IMP; GO:0044412"	GO		Reduced virulence		No	No	Yes		No Data	No Data										gene deletion			TKB; MU	15986930	PubMed				"Essential for botrydiol toxin synthesis, Reduced Virulence-strain specific"	Siewers et al.	2005			PHI-base Vers.3.3		Rres																								
Record 459	PHI:439	Uniprot	Q9UWE7	EMBL	BAA83722			PH-1; NRRL 31084	TRI6							5518	Fusarium graminearum (related: Gibberella zeae)	229533	R5317	Fusarium ear blight	Monocots	4565	Triticum aestivum (related: Bread wheat)					Transcription factor	"GO:0009405, IMP; GO:0044412"	GO		Reduced virulence		No	No	Yes		Wild type											altered gene expression / gene regulation: silencing			TKB; AB; AC	15986923	PubMed	10.1094/MPMI-18-0539	McDonald et al. (2005) Mol Plant Microbe Interact 18 (6): 539-545	npk@plantpath.wisc.edu		McDonald et al.	2005			PHI-base Vers.3.3		Rres																								
Record 460	PHI:440	Uniprot	Q9P872	EMBL	CAB87245				PMR1							5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					P-type ATPase transporter	"GO:0009405, IMP"	GO		Reduced virulence																	gene deletion; gene complementation			TKB	15843378	PubMed	10.1074/jbc.M502162200				Bates et al.	2005			PHI-base Vers.3.3		Rres																								
Record 461	PHI:441	Uniprot	Q6A2T2	EMBL	CAE55153			SAS56	BTP1							40559	Botrytis cinerea	40559		Grey mould	Eudicots	3750	Malus domestica (related: Apple)					G-protein coupled receptor				Unaffected pathogenicity		No Data	No Data	No													gene deletion			TKB; MU		Not in PubMed		Gronover et al. (2005) MOLECULAR PLANT PATHOLOGY 6(3). 243-256		Expression of glutathione S transferases is affected in the BTP1 deletion mutant.	Gronover et al.	2005			PHI-base Vers.3.3		Rres																								
Record 462	PHI:441	Uniprot	Q6A2T2	EMBL	CAE55153			SAS56	BTP1							40559	Botrytis cinerea	40559		Grey mould	Eudicots	4081	Solanum lycopersicum (related: Tomato)					G-protein coupled receptor				Unaffected pathogenicity		No Data	No Data	No													gene deletion			TKB; MU		Not in PubMed		Gronover et al. (2005) MOLECULAR PLANT PATHOLOGY 6(3). 243-256		Expression of glutathione S transferases is affected in the BTP1 deletion mutant.	Gronover et al.	2005			PHI-base Vers.3.3		Rres																								
Record 463	PHI:441	Uniprot	Q6A2T2	EMBL	CAE55153			SAS56	BTP1							40559	Botrytis cinerea	40559		Grey mould	Eudicots	4072	Capsicum annuum (no common name found)					G-protein coupled receptor				Unaffected pathogenicity		No Data	No Data	No													gene deletion			TKB; MU		Not in PubMed		Gronover et al. (2005) MOLECULAR PLANT PATHOLOGY 6(3). 243-256		Expression of glutathione S transferases is affected in the BTP1 deletion mutant.	Gronover et al.	2005			PHI-base Vers.3.3		Rres																								
Record 464	PHI:441	Uniprot	Q6A2T2	EMBL	CAE55153			SAS56	BTP1							40559	Botrytis cinerea	40559		Grey mould	Eudicots	3885	Phaseolus vulgaris (related: String bean)					G-protein coupled receptor	"GO:0009405, IMP; GO:0044412"	GO		Reduced virulence		No Data	No Data	Yes													gene deletion			TKB; MU		Not in PubMed		Gronover et al. (2005) MOLECULAR PLANT PATHOLOGY 6(3). 243-256		Expression of glutathione S transferases is affected in the BTP1 deletion mutant.  Reduced virulence only with dilute inoculum.	Gronover et al.	2005			PHI-base Vers.3.3		Rres																								
Record 465	PHI:442	Uniprot	I1S241	Broad	FGSG_10825			PH-1; NRRL 31084	MSY1							5518	Fusarium graminearum (related: Gibberella zeae)	229533	PH-1	Fusarium ear blight	Monocots	4577	Zea mays (related: Maize)					Methionine synthase	"GO:0009405, IMP; GO:0044412"	GO		Reduced virulence		No Data	No Data	Yes													gene deletion; gene complementation			TKB; AB; AC	18943005	PubMed	10.1094/PHYTO-95-0744	Seong et al. (2005) PHYTOPATHOLOGY 95(7) 744-750			Seong et al.	2005			PHI-base Vers.3.3		Rres			Broad	FGSG_10825																				
Record 466	PHI:442	Uniprot	I1S241	Broad	FGSG_10825			PH-1; NRRL 31084	MSY1							5518	Fusarium graminearum (related: Gibberella zeae)	229533	PH-1	Fusarium ear blight	Monocots	4565	Triticum aestivum (related: Bread wheat)					Methionine synthase	"GO:0009405, IMP; GO:0044412"	GO		Reduced virulence		No Data	No Data	Yes													gene deletion; gene complementation			TKB; AB; AC	18943005	PubMed	10.1094/PHYTO-95-0744	Seong et al. (2005) PHYTOPATHOLOGY 95(7) 744-750			Seong et al.	2005			PHI-base Vers.3.3		Rres			Broad	FGSG_10825																				
Record 467	PHI:443	Uniprot	I1RE58	Broad	FG01932			PH-1; NRRL 31084	CBL1							5518	Fusarium graminearum (related: Gibberella zeae)	229533	PH-1	Fusarium ear blight	Monocots	4565	Triticum aestivum (related: Bread wheat)					Cystathionine beta-lyase	"GO:0009405, IMP; GO:0044412"	GO		Reduced virulence		No Data	No Data	Yes													gene deletion; gene complementation			TKB; AB; MU; AC	18943005	PubMed	10.1094/PHYTO-95-0744	Seong et al. (2005) PHYTOPATHOLOGY. 95(7) 744-750			Seong et al.	2005			PHI-base Vers.3.3		Rres			Broad	FG01932																				
Record 468	PHI:443	Uniprot	I1RE58	Broad	FG01932			PH-1; NRRL 31084	CBL1							5518	Fusarium graminearum (related: Gibberella zeae)	229533	PH-1	Fusarium ear blight	Monocots	4577	Zea mays (related: Maize)					Cystathionine beta-lyase	"GO:0009405, IMP; GO:0044412"	GO		Reduced virulence		No Data	No Data	Yes													gene deletion; gene complementation			TKB; AB; MU; AC	18943005	PubMed	10.1094/PHYTO-95-0744	Seong et al. (2005) PHYTOPATHOLOGY. 95(7) 744-750			Seong et al.	2005			PHI-base Vers.3.3		Rres			Broad	FG01932																				
Record 469	PHI:444	Uniprot	I1RD66	Broad	FG01555			PH-1; NRRL 31084	ZIF1							5518	Fusarium graminearum (related: Gibberella zeae)	229533	PH-1	Fusarium ear blight	Monocots	4577	Zea mays (related: Maize)					b-ZIP transcription factor	"GO:0009405, IMP; GO:0044412"	GO		Reduced virulence		No Data	No Data	Yes													gene disruption			TKB; AB; MU; AC	18943005	PubMed	10.1094/PHYTO-95-0744	Seong et al. (2005) PHYTOPATHOLOGY. 95(7) 744-750			Seong et al.	2005			PHI-base Vers.3.3		Rres			Broad	FG01555																				
Record 470	PHI:444	Uniprot	I1RD66	Broad	FG01555			PH-1; NRRL 31084	ZIF1							5518	Fusarium graminearum (related: Gibberella zeae)	229533	PH-1	Fusarium ear blight	Monocots	4565	Triticum aestivum (related: Bread wheat)					b-ZIP transcription factor	"GO:0009405, IMP; GO:0044412"	GO		Reduced virulence		No Data	No Data	Yes													gene disruption			TKB; AB; MU; AC	18943005	PubMed	10.1094/PHYTO-95-0744	Seong et al. (2005) PHYTOPATHOLOGY. 95(7) 744-750			Seong et al.	2005			PHI-base Vers.3.3		Rres			Broad	FG01555																				
Record 471	PHI:445	Uniprot	I1RA52	Broad	FG00376			PH-1; NRRL 31084	NOS1							5518	Fusarium graminearum (related: Gibberella zeae)	229533	PH-1	Fusarium ear blight	Monocots	4565	Triticum aestivum (related: Bread wheat)					Ubiquinone oxidoreductase	"GO:0009405, IMP; GO:0044412"	GO		Reduced virulence		No Data	No Data	Yes													gene disruption			TKB; AB; MU; AC	18943005	PubMed	10.1094/PHYTO-95-0744	Seong et al. (2005) PHYTOPATHOLOGY 95(7) 744-750			Seong et al.	2005			PHI-base Vers.3.3		Rres			Broad	FG00376																				
